Item,,Min_UnitCost,Avg_UnitCost,Max_UnitCost
Flexible Copper Connector - 13mm (½ Inch) Diameter,Each,62,93,139.5
Flexible PVC Connector - 13mm (½ inch) Diameter,Each,49,73.5,110.25
Gate valve - 13mm (½ inch) - Brass,Each,108,162,243
Gate valve - 13mm (½ inch) - PVC,Each,68,102,153
Gate valve - 19mm (¾ inch) - PVC,Each,82,123,184.5
Gate valve - 19mm (¾ inch) -Brass,Each,166,249,373.5
Gate valve - 25mm (1 inch) - Brass,Each,192,288,432
Gate valve - 25mm (1 inch) - PVC,Each,124,186,279
Gate valve - 32mm (1 ¼ inch) - Brass,Each,262,393,589.5
Gate valve -32mm(1 ¼ inch) - PVC,Each,130,195,292.5
Glass - 4mm thick clear glass,m2,529,793.5,1190.25
Glass - 4mm thick obscure glass,m2,982,1473,2209.5
Glass - 6mm thick clear glass,m2,994,1491,2236.5
Glass - 6mm thick Georgian wire glass,m2,1452,2178,3267
Glass - 6mm thick obscure glass,m2,1352,2028,3042
Glass - 8mm thick clear glass,m2,1157,1735.5,2603.25
Glass - 8mm thick obscure glass,m2,1955,2932.5,4398.75
Glass cutter,Each,70,105,157.5
Glass putty knife,Each,40,60,90
Glue - PVC 250ml,Each,65,97.5,146.25
Glue - PVC 500ml,Each,109,163.5,245.25
Glue - Wood 250ml,Each,73,109.5,164.25
Glue - Wood 500ml,Each,98,147,220.5
Grinding Disc 100mm (4 inch),Each,55,82.5,123.75
Grinding Disc 115mm (4.5 inch),Each,78,117,175.5
Grinding Disc 125mm (5 inch),Each,97,145.5,218.25
Grinding Disc 180mm (7 inch),Each,125,187.5,281.25
Grinding Disc 230mm (9 inch),Each,175,262.5,393.75
Grinding Disc 300mm (12 inch),Each,242,363,544.5
Grinding Disc 350mm (14 inch),Each,301,451.5,677.25
Gulley trap - 110mm (4.3 inch) Diameter - PVC,Each,128,192,288
Hacksaw blade -12 inches (300mm).,Each,33,49.5,74.25
Hack-Saw Frame(Metal) -12 inches (300mm),Each,117,175.5,263.25
High tensile steel rod; 10mm diameter deformed bars x12 meters,Each,186,279,418.5
